MATERIAL_NO,MDM_MATCH,MANUFACTURER_NAME_1,MANUFACTURER_PT_NO_1,NOUN_ENGLISH,MODIFIER_ENGLISH,
1157082,Yes,GATES,1540XH500,BELT,TIMING,
1157083,Yes,DESIGN CONTROLS,18XL037,BELT,TIMING,
1157086,No,GATES,8/5V2000,BELT,V,BELT|V
1157087,New,GATES,1610-14MGT-85,BELT,TIMING,BELT|TIMING
1157090,No,GATES,4/5V1600,BELT,V,BELT|V
1166121,No,GATES,3/5VX1500,BELT,V,BELT|V
1171121,No,GATES,4/AX96,BELT,V,BELT|V
1172213,No,GATES,3/3V630,BELT,V,BELT|V
1172229,Yes,GATES,285L050,BELT,TIMING,
1186690,No,RKL PRODUCTS,4/5VX1320,BELT,V,BELT|V
1188661,No,CATERPILLAR,7L5093,BELT,V,BELT|V
1189217,Yes,GATES,B78,BELT,V,
1189491,No,GATES,3500-14M-85,BELT,TIMING,BELT|TIMING
1189692,Yes,GATES,3920-14M-37,BELT,TIMING,
1192603,Yes,GATES,C85,BELT,V,
1192618,No,GATES,HC/5VX1180,BELT,V,BELT|V
1192619,No,DURKEE ATWOOD,B128,BELT,V,BELT|V
1204912,Yes,GATES,A26,BELT,V,
1204913,Yes,GATES,A46,BELT,V,
1204915,Yes,GATES,BX51,BELT,V,
1204916,Yes,GATES,A38,BELT,V,
1204917,Yes,GATES,AP48,BELT,V,
1204918,Yes,GATES,AX56,BELT,V,
1204919,Yes,GATES,A80,BELT,V,
1204920,Yes,GATES,A90,BELT,V,
1204921,Yes,GATES,3L470,BELT,V,
1204922,Yes,GATES,B46,BELT,V,
1204923,New,GATES,B59,BELT,V,BELT|V
1204924,Yes,GATES,B80,BELT,V,
1204925,Yes,GATES,B83,BELT,V,
1204926,Yes,GATES,B105,BELT,V,
1204927,Yes,GATES,B112,BELT,V,
1204928,No,DAYCO PRODUCTS,4/B120,BELT,V,BELT|V
1204929,No,DAYCO PRODUCTS,3/BX158,BELT,V,BELT|V
1204933,Yes,GATES,5V900,BELT,V,
1204936,Yes,GOODYEAR,BX59,BELT,V,
1204937,No,TB WOODS,B66,BELT,V,BELT|V
1204938,No,TB WOODS,BP46,BELT,V,BELT|V
1204939,No,TB WOODS,BX90,BELT,V,BELT|V
1204940,No,TB WOODS,BP54,BELT,V,BELT|V
1204941,Yes,GATES,4L220,BELT,V,
1204942,No,TB WOODS,BX93,BELT,V,BELT|V
1204943,No,TB WOODS,BP85,BELT,V,BELT|V
1204944,Yes,GATES,2250,BELT,V,
1204945,Yes,GATES,B85,BELT,V,
1204946,No,DODGE,A55,BELT,V,BELT|V
1204947,No,DURKEE ATWOOD,B-110,BELT,V,BELT|V
1204949,No,DODGE,B48,BELT,V,BELT|V
1204950,No,TB WOODS,5V850,BELT,V,BELT|V
1204951,No,TB WOODS,3V600,BELT,V,BELT|V
1204952,No,TB WOODS,EV600,BELT,V,BELT|V
1204953,No,TB WOODS,2930V348,BELT,V,BELT|V
1204955,Yes,GATES,A51,BELT,V,
1204957,Yes,GATES,B68,BELT,V,
1204958,Yes,GATES,B32,BELT,V,
1210267,Yes,GATES,B51,BELT,V,
1210273,No,HUDSON PRODUCTS,3/BP158,BELT,V,BELT|V
1210274,Yes,GATES,C144,BELT,V,
1210275,Yes,GATES,3200-8MGT-36,BELT,TIMING,
1210278,No,TB WOODS,5/5VX1700,BELT,V,BELT|V
1214372,No,KEENE,4L280,BELT,V,BELT|V
1214761,No,HOWDEN,3V800,BELT,V,BELT|V
1214763,No,,CP136,BELT,V,BELT|V
1221453,No,TB WOODS,2800-14M-85,BELT,TIMING,BELT|TIMING
1221454,Yes,GATES,2400-8M-50,BELT,TIMING,
1221456,No,DAYCO PRODUCTS,2/3VX560,BELT,V,BELT|V
1221466,No,GATES,3304-14M-37,BELT,TIMING,BELT|TIMING
1221485,No,GATES,3150-14M-55F,BELT,TIMING,BELT|TIMING
1222476,No,GATES,3500-14M-55,BELT,TIMING,BELT|TIMING
1222488,Yes,GATES,5VX1060,BELT,V,
1222591,No,GATES,3360-14M-85,BELT,TIMING,BELT|TIMING
1225005,No,DAYCO PRODUCTS,3150-14M-55F,BELT,TIMING,BELT|TIMING
1226066,No,,D 2-0904/5 ,BELT,V,BELT|V
1228152,Yes,GATES,B154,BELT,V,
1228153,Yes,GATES,5VX1180,BELT,V,
1228169,No,CW BRABENDER INSTRUMENTS,1050-5M-15,BELT,TIMING,BELT|TIMING
1228448,New,GATES,A28,BELT,V,BELT|V
1228451,No,HARTZELL FAN,2500650,BELT,V,BELT|V
1228927,Yes,GOODYEAR,C210,BELT,V,
1229445,Yes,GATES,B44,BELT,V,
1229918,Yes,GATES,5/5V1600,BELT,V,
1230153,No,GATES,TR24465,BELT,V,BELT|V
1230591,No,DAYCO PRODUCTS,5VX900,BELT,V,BELT|V
1231143,Yes,GATES,3/B51,BELT,V,
1231353,No,EMERSON ELECTRIC,600,BELT,V,BELT|V
1233127,Yes,GATES,3/5V1400,BELT,V,
1233276,No,,B84,BELT,V,BELT|V
1235407,No,GOODYEAR,4/B144,BELT,V,BELT|V
1235408,No,GOODYEAR,B158,BELT,V,BELT|V
1235409,Yes,GATES,B180,BELT,V,
1235410,No,GATES,7/B128,BELT,V,BELT|V
1235411,No,GATES,4/C112,BELT,V,BELT|V
1235412,No,GOODYEAR,CP162-51,BELT,V,BELT|V
1235413,Yes,GATES,4L510,BELT,V,
1235414,Yes,GATES,5/3V1400,BELT,V,
1235415,No,GATES,5/5V1000,BELT,V,BELT|V
1235416,Yes,GOODYEAR,4/B158,BELT,V,
1235417,No,GOODYEAR,3/B136,BELT,V,BELT|V
1235418,No,GOODYEAR,3/B128,BELT,V,BELT|V
1235420,No,GOODYEAR,3/BX105,BELT,V,BELT|V
1235421,No,GOODYEAR,2/BX105,BELT,V,BELT|V
1235422,No,GOODYEAR,3/BX97,BELT,V,BELT|V
1235423,No,GOODYEAR,2/B128,BELT,V,BELT|V
1235424,No,GOODYEAR,4/BX136,BELT,V,BELT|V
1235425,No,GOODYEAR,5/B158,BELT,V,BELT|V
1235426,No,GOODYEAR,3/B158,BELT,V,BELT|V
1235427,No,US MOTORS,55-1,BELT,V,BELT|V
1235428,No,US MOTORS,65-2,BELT,V,BELT|V
1236479,Yes,GATES,3L420,BELT,V,
1236507,Yes,GATES,4L430,BELT,V,
1236547,No,GATES,3850-14M-55F,BELT,TIMING,BELT|TIMING
1236763,Yes,GATES,1800-8MGT-30,BELT,TIMING,
1236838,Yes,GATES,A62,BELT,V,
1237025,Yes,GATES,BP71,BELT,V,
1237151,No,GATES,3150-14M-55,BELT,TIMING,BELT|TIMING
1237152,New,GOODYEAR,3360-14M-40,BELT,TIMING,BELT|TIMING
1237154,New,GOODYEAR,1440-8M-20,BELT,TIMING,BELT|TIMING
1237379,New,GOODYEAR,3500-14M-55,BELT,TIMING,BELT|TIMING
1238026,No,GATES,1922V454,BELT,V,BELT|V
1238149,Yes,GATES,A34,BELT,V,
1238150,Yes,GATES,A41,BELT,V,
1238151,Yes,GATES,B59,BELT,V,
1238152,Yes,GATES,B79,BELT,V,
1238228,No,GATES,4/3V900,BELT,V,BELT|V
1238447,No,TB WOODS,1440-8M-85,BELT,TIMING,BELT|TIMING
1238482,Yes,GATES,A50,BELT,V,
1238635,No,GOODYEAR,3360-14M-85F,BELT,TIMING,BELT|TIMING
1239365,Yes,CATERPILLAR,4N8580,BELT,V,
1239812,No,TB WOODS,BP140,BELT,V,BELT|V
1241147,Yes,GATES,3136-14M-20,BELT,TIMING,
1241166,Yes,GATES,2520-8M-21,BELT,TIMING,
1241172,No,GATES,2400-8M-12,BELT,TIMING,BELT|TIMING
1241176,Yes,GATES,2840-8MGT-21,BELT,TIMING,
1244224,No,GATES,2400-8M-21,BELT,TIMING,BELT|TIMING
1244340,No,GATES,2520-8M-12,BELT,TIMING,BELT|TIMING
1244660,Yes,GATES,3VX850,BELT,V,
1244689,Yes,GATES,5VX800,BELT,V,
1244746,Yes,GATES,5VX650,BELT,V,
1244824,Yes,GATES,BX42,BELT,V,
1244904,Yes,GATES,3150-14M-40,BELT,TIMING,
1245124,Yes,GATES,4L230,BELT,V,
1245125,Yes,GATES,3L290,BELT,V,
1245153,Yes,GOODYEAR,B-1960,BELT,V,
1245189,No,GATES,3/5V2240,BELT,V,BELT|V
1245261,No,GATES,3/5V2210,BELT,V,BELT|V
1245438,No,GOODYEAR,4/3VX1000,BELT,V,BELT|V
1245443,Yes,GATES,3920-14M-20,BELT,TIMING,
1245446,Yes,GATES,3500-14M-20,BELT,TIMING,
1245452,Yes,GATES,3304-14M-20,BELT,TIMING,
1245454,No,,57697,BELT,TIMING,BELT|TIMING
1245455,No,GOODYEAR,4/BX105M,BELT,V,BELT|V
1245890,Yes,GATES,B96,BELT,V,
1246445,Yes,GATES,5V1600,BELT,V,
1247460,No,DAYCO PRODUCTS,5/BX158,BELT,V,BELT|V
1248646,Yes,GATES,3L250,BELT,V,
1248648,No,GATES,RVS291922V544,BELT,V,BELT|V
1248649,Yes,GATES,454,BELT,V,
1248650,No,GATES,465,BELT,V,BELT|V
1248651,No,GATES,680,BELT,V,BELT|V
1248652,Yes,GATES,2360,BELT,V,
1248653,Yes,GATES,3450,BELT,V,
1248654,No,GATES,7300,BELT,V,BELT|V
1248655,No,GATES,N8514(8445),BELT,V,BELT|V
1248656,No,GATES,N9470(8356),BELT,V,BELT|V
1248657,No,GATES,N8419(8405),BELT,V,BELT|V
1248658,Yes,GATES,5L510,BELT,V,
1248659,No,GATES,1410,BELT,V,BELT|V
1248660,No,GATES,3V315,BELT,V,BELT|V
1248661,New,GATES,3V355,BELT,V,BELT|V
1248662,No,GATES,8343(N9300),BELT,V,BELT|V
1248663,No,GATES,8385,BELT,V,BELT|V
1248664,Yes,GATES,9550,BELT,V,
1248665,No,GATES,358320C91,BELT,V,BELT|V
1248666,No,GATES,355538C91,BELT,V,BELT|V
1248667,Yes,GATES,A86,BELT,V,
1248668,No,GATES,81142585,BELT,V,BELT|V
1248669,Yes,GATES,B43,BELT,V,
1248670,No,GATES,S8075,BELT,V,BELT|V
1248671,Yes,GATES,A54,BELT,V,
1248672,No,GATES,3710,BELT,V,BELT|V
1248674,No,TB WOODS,4L240,BELT,V,BELT|V
1248675,Yes,GATES,3VX475,BELT,V,
1253994,Yes,GATES,1610-14MGT-40,BELT,TIMING,
1254392,Yes,GATES,3VX560,BELT,V,
1254956,No,GATES,3/BX105,BELT,V,BELT|V
1254996,No,TB WOODS,3850-14M-55,BELT,TIMING,BELT|TIMING
1255370,No,GATES,2000-8M-85,BELT,TIMING,BELT|TIMING
1255371,No,HUDSON PRODUCTS,3500-14M-55F,BELT,TIMING,BELT|TIMING
1255372,No,DAYCO PRODUCTS,3500-14M-85,BELT,TIMING,BELT|TIMING
1256016,New,GATES,4/5V2360,BELT,V,BELT|V
1257822,No,TB WOODS,4L460,BELT,V,BELT|V
1257823,No,TB WOODS,4L260,BELT,V,BELT|V
1257824,Yes,GATES,4L390,BELT,V,
1260349,No,BAKER PERKINS,3/3VX600,BELT,V,BELT|V
1261462,No,GATES,9L-6643,BELT,V,BELT|V
1262472,No,HUDSON PRODUCTS,2400-8M-85,BELT,TIMING,BELT|TIMING
1271728,Yes,GATES,BX42,BELT,V,
1272109,No,GATES,5V630,BELT,V,BELT|V
1280102,Yes,GATES,3VX1000,BELT,V,
1280270,Yes,GATES,B88,BELT,V,
1281285,Yes,GOODYEAR,3VX950,BELT,V,
1281586,Yes,GATES,3304-14M-68,BELT,TIMING,
1282696,Yes,GATES,3V475,BELT,V,
1282851,Yes,GATES,BX95,BELT,V,
1283986,Yes,GATES,3500-14MGT-20,BELT,TIMING,
1284641,Yes,GOODYEAR,5VX1120,BELT,V,
1286247,No,DYNISCO,99672720,BELT,TIMING,BELT|TIMING
1286673,No,GATES,3850-14M-85,BELT,TIMING,BELT|TIMING
1287063,Yes,GOODYEAR,5L350,BELT,V,
1287150,Yes,GATES,3200-8MGT-12,BELT,TIMING,
1287163,No,,4/BX105,BELT,V,BELT|V
1287232,Yes,GATES,3136-14MGT-20,BELT,TIMING,
1288393,Yes,GATES,C120,BELT,V,
1288609,New,GATES,C120,BELT,V,BELT|V
1289718,No,GOODYEAR,5/5VX1500,BELT,V,BELT|V
1290103,Yes,GATES,3VX375,BELT,V,
1290577,Yes,GATES,2800-14MGT-37,BELT,TIMING,
1291562,No,,XPB2650,BELT,V,BELT|V
1291942,No,HARTZELL FAN,331000290,BELT,V,BELT|V
1299475,Yes,GATES,4L200,BELT,V,
1299697,Yes,GOODYEAR,C210,BELT,V,
1299930,No,BROWNING,4956-PTH14M-42,BELT,TIMING,BELT|TIMING
1304452,Yes,GATES,6833,BELT,V,
1304495,Yes,GATES,C195,BELT,V,
1315900,Yes,GOODYEAR,B60,BELT,V,
1317618,Yes,GATES,AX51,BELT,V,
1317999,Yes,GATES,5VX1250,BELT,V,
1319212,Yes,GATES,1792-8MGT-21,BELT,TIMING,
1319213,Yes,GATES,3280-8MGT-36,BELT,TIMING,
1319214,Yes,GATES,2240-8MGT-21,BELT,TIMING,
1319215,Yes,GATES,2520-8MGT-36,BELT,TIMING,
1319286,Yes,GATES,2400-8MGT-36,BELT,TIMING,
1319486,Yes,GATES,2000-8MGT-21,BELT,TIMING,
1319487,Yes,GATES,2400-8MGT-12,BELT,TIMING,
1319489,Yes,GATES,2400-8MGT-36,BELT,TIMING,
1319490,Yes,GATES,2840-8MGT-21,BELT,TIMING,
1321474,No,DAYCO PRODUCTS,B86HI,BELT,V,BELT|V
1322154,No,NAPA AUTO PARTS,24438,BELT,V,BELT|V
1322155,No,NAPA AUTO PARTS,22363,BELT,V,BELT|V
1322156,No,NAPA AUTO PARTS,9540,BELT,V,BELT|V
1324543,Yes,PULSAFEEDER,W208829-000,BELT,TIMING,
1330225,Yes,GATES,A70,BELT,V,
1330226,No,GATES,1610M10,BELT,V,BELT|V
1330228,No,GATES,4/5V1250,BELT,V,BELT|V
1330268,No,CUMMINS,178655WPZ,BELT,V,BELT|V
1330269,No,CUMMINS,WRZ-200328,BELT,V,BELT|V
1332091,No,CUMMINS,200549,BELT,V,BELT|V
1332092,No,CUMMINS,178708,BELT,V,BELT|V
1334428,Yes,GATES,A58,BELT,V,
1334429,Yes,GATES,B39,BELT,V,
1334430,Yes,GATES,B32,BELT,V,
1334431,Yes,GATES,B30,BELT,V,
1335721,Yes,GOODYEAR,C81,BELT,V,
1336206,Yes,GATES,A64,BELT,V,
1336428,Yes,GATES,BX75,BELT,V,
1338391,Yes,GATES,1792-8MGT-12,BELT,TIMING,
1338481,Yes,GATES,2100-14MGT-85,BELT,TIMING,
1339161,New,GATES,5VX1500,BELT,V,BELT|V
1339665,No,DAYTON,A45,BELT,V,BELT|V
1339985,Yes,GATES,3850-14MGT-55,BELT,TIMING,
1343353,Yes,GATES,3200-8MGT-21,BELT,TIMING,
1343443,New,GATES,2590-14MGT-55,BELT,TIMING,BELT|TIMING
1345282,No,DAYCO PRODUCTS,3500-14M-40,BELT,TIMING,BELT|TIMING
1345961,Yes,GATES,2800-14MGT-20,BELT,TIMING,
1345988,Yes,GATES,2240-8MGT-36,BELT,TIMING,
1346639,No,GATES,5/5VX2000,BELT,V,BELT|V
1347976,Yes,GATES,1400-14M-20,BELT,TIMING,
1348046,Yes,GATES,BX40,BELT,V,
1348072,Yes,GATES,3920-14MGT-20,BELT,TIMING,
1349358,New,GATES,BX38,BELT,V,BELT|V
1349718,No,GATES,2/3VX710,BELT,V,BELT|V
1350752,Yes,GATES,2840-8MGT-36,BELT,TIMING,
1353313,Yes,GATES,CX112,BELT,V,
1353476,Yes,GATES,3/5V2240,BELT,V,
1353477,Yes,GATES,3/3V1120,BELT,V,
1354238,No,GATES,4/5V950,BELT,V,BELT|V
1354247,Yes,GATES,6948,BELT,V,
1355229,Yes,GATES,2400-8MGT-21,BELT,TIMING,
1355625,No,,5VX750,BELT,V,BELT|V
1358057,No,GATES,2/B50,BELT,V,BELT|V
1360003,Yes,GATES,2600-8MGT-50,BELT,TIMING,
1361249,Yes,GATES,1440-8MGT-21,BELT,TIMING,
1361253,Yes,GATES,2400-8MGT-62,BELT,TIMING,
1362057,No,CATERPILLAR,284-8095,BELT,V,BELT|V
1363091,Yes,GATES,1280-8MGT-21,BELT,TIMING,
1363530,Yes,GATES,A83,BELT,V,
1364396,No,SPEED CONTROL,SPB2500,BELT,V,BELT|V
1364518,No,GATES,4/5V1500,BELT,V,BELT|V
1364530,Yes,GATES,3VX375,BELT,V,
1364724,Yes,GATES,AX43,BELT,V,
1364732,New,GATES,5/5VX1700,BELT,V,BELT|V
1364733,No,GATES,3/5VX1250,BELT,V,BELT|V
1368917,No,,12120-8M-30,BELT,TIMING,BELT|TIMING
1369209,No,MEGADYNE,87000530,BELT,TIMING,BELT|TIMING
1369454,No,GATES,SPC4250/5,BELT,V,BELT|V
1369455,No,GATES,SPC4250/4,BELT,V,BELT|V
1369456,No,GATES,SPC4250/3,BELT,V,BELT|V
1370421,No,,SPB2120,BELT,V,BELT|V
1372632,Yes,GATES,XPA1950,BELT,V,
1373801,No,GATES,XPC2240,BELT,V,BELT|V
1375311,New,SEW-EURODRIVE,012 213 0,BELT,TIMING,BELT|TIMING
1375698,No,,BX71,BELT,V,BELT|V
1375799,No,A-L-L EQUIPMENT,95100541,BELT,V,BELT|V
1376477,No,,SPA1120,BELT,V,BELT|V
1377986,No,CATERPILLAR,9L-6643,BELT,V,BELT|V
1377988,Yes,GATES,3VX670,BELT,V,
1378394,No,,XPC4100,BELT,V,BELT|V
1379524,No,TB WOODS,2310-14M-42W,BELT,TIMING,BELT|TIMING
1379525,No,TB WOODS,1400-14M-42W,BELT,TIMING,BELT|TIMING
1391933,Yes,GATES,2600-8MGT-12,BELT,TIMING,
1393550,No,,SPZ987,BELT,V,BELT|V
1393747,Yes,GATES,720-8MGT-12,BELT,TIMING,
1393967,Yes,GATES,BX46,BELT,V,
1393969,No,SCREW CONVEYOR,BP63,BELT,V,BELT|V
1393970,Yes,GATES,4326-14MGT-40,BELT,TIMING,
1393971,Yes,GATES,5320-14MGT-40,BELT,TIMING,
1396345,No,,5V1500,BELT,V,BELT|V
1396492,No,MITSUBISHI ELECTRIC,05910-20041,BELT,V,BELT|V
1397157,Yes,GATES,800-5M-15,BELT,TIMING,
1398936,Yes,GATES,1120-8MGT-20,BELT,TIMING,
1399075,Yes,GATES,B41,BELT,V,
1399943,Yes,GATES,A36,BELT,V,
1400022,No,,SPA957,BELT,V,BELT|V
1400023,No,,B56,BELT,V,BELT|V
1400159,No,,B55,BELT,V,BELT|V
1403367,Yes,NAPA AUTO PARTS,4L300W,BELT,V,
1404862,No,,5VX690,BELT,V,BELT|V
1404868,No,GATES,8400-14MGT-E.L.-145,BELT,TIMING,BELT|TIMING
1405958,No,GATES,6/CP210,BELT,V,BELT|V
1411988,No,OPTIBELT,600-8M-30,BELT,TIMING,BELT|TIMING
1413954,Yes,GATES,B74,BELT,V,
1414329,No,,B74,BELT,V,BELT|V
1414551,No,,SPZ1800,BELT,V,BELT|V
1415213,Yes,GATES,3360-14MGT-20,BELT,TIMING,
1416740,No,MEGADYNE,RPP8M-50,BELT,TIMING,BELT|TIMING
1420729,Yes,GATES,BX77,BELT,V,
1422088,No,,XPZ1987,BELT,V,BELT|V
1422561,No,CARTER DAY INTERNATIONAL,429775,BELT,TIMING,BELT|TIMING
1425111,No,,SPA1082,BELT,V,BELT|V
1425112,No,,SPA1107,BELT,V,BELT|V
1425113,No,,B59,BELT,V,BELT|V
1425114,No,,SPA1207,BELT,V,BELT|V
1425115,No,,SPA1857,BELT,V,BELT|V
1425143,New,GATES,BX65,BELT,V,BELT|V
1425346,No,,25AT10/730,BELT,TIMING,BELT|TIMING
1426515,No,GATES,PC2-14MGT-2450-37,BELT,TIMING,BELT|TIMING
1426745,New,GATES,560-8MGT-50,BELT,TIMING,BELT|TIMING
1426746,No,GATES,8M-30/560,BELT,TIMING,BELT|TIMING
1427910,No,GATES,8M-30,BELT,TIMING,BELT|TIMING
1428167,Yes,GATES,3920-14MGT-37,BELT,TIMING,
1428296,New,GATES,3500-14MGT-40,BELT,TIMING,BELT|TIMING
1428599,Yes,GATES,2800-8MGT-20,BELT,TIMING,
1429325,No,,SPA957,BELT,V,BELT|V
1429406,Yes,GATES,54807,BELT,TIMING,
1429439,No,TWIN CITY,BX48,BELT,V,BELT|V
1433840,No,K-TRON,9142-700110,BELT,TIMING,BELT|TIMING
1433841,No,K-TRON,9142-700020,BELT,TIMING,BELT|TIMING
1433843,No,K-TRON,9142-700040,BELT,TIMING,BELT|TIMING
1435361,No,GATES,AX82,BELT,V,BELT|V
1436759,No,,SPA2582,BELT,V,BELT|V
1437559,Yes,GATES,300H150,BELT,TIMING,
1437889,No,GARDNER DENVER,13AH9002,BELT,V,BELT|V
1438309,No,MEGADYNE,XPZ1400,BELT,V,BELT|V
1438991,No,GATES,PC2-14MGT-1610-68,BELT,TIMING,BELT|TIMING
1439186,No,,SPB3550,BELT,V,BELT|V
1440164,No,CINCINNATI FAN & VENTILATOR,11/BX47,BELT,V,BELT|V
1441367,No,GATES,8VX1120,BELT,V,BELT|V
1442013,No,,SPA1082,BELT,V,BELT|V
1442014,No,,SPA957,BELT,V,BELT|V
1444226,Yes,GATES,A37,BELT,V,
1445357,No,GATES,PC2-14MGT-1890-37,BELT,TIMING,BELT|TIMING
1446016,Yes,GATES,AX52,BELT,V,
1446189,New,GATES,5VX750,BELT,V,BELT|V
1447512,Yes,,4578-14MGT-55,BELT,TIMING,
1449016,No,,SPA957,BELT,V,BELT|V
1449017,No,,SPA1082,BELT,V,BELT|V
1449018,No,,SPA1107,BELT,V,BELT|V
1449239,No,,B56,BELT,V,BELT|V
1450933,No,CLARKE,C07816,BELT,V,BELT|V
1452702,No,,5VX630,BELT,V,BELT|V
1453047,Yes,GATES,1120-8MGT-12,BELT,TIMING,
1454753,No,JONGERIUS,815-5MR-21SDA,BELT,TIMING,BELT|TIMING
1454754,No,JONGERIUS,TP5MR 815-18SD,BELT,TIMING,BELT|TIMING
1454755,No,JONGERIUS,575-5MR-26SD,BELT,TIMING,BELT|TIMING
1454836,New,GATES,5VX1180,BELT,V,BELT|V
1455113,New,GATES,BX59,BELT,V,BELT|V
1455921,No,,SPA1132,BELT,V,BELT|V
1457718,No,KEYSTONE INDUSTRIES,XPA2360,BELT,V,BELT|V
1461103,No,GATES,2450-14GTV-20,BELT,TIMING,BELT|TIMING
1461135,No,GATES,3500-14GTV-20,BELT,TIMING,BELT|TIMING
1461136,No,GATES,3304-14GTV-37,BELT,TIMING,BELT|TIMING
1461822,Yes,GATES,2400-8MGT-20,BELT,TIMING,
1462362,New,GATES,2400-8MGT-50,BELT,TIMING,BELT|TIMING
1462546,Yes,GOODYEAR,3500-14M-55,BELT,TIMING,
1463814,Yes,GATES,3048-8MGT-21,BELT,TIMING,
1464435,New,GATES,3500-14MGT-40,BELT,TIMING,BELT|TIMING
1465122,No,MEGADYNE,SPC5000,BELT,V,BELT|V
1465563,No,,B59,BELT,V,BELT|V
1466878,Yes,GATES,A31,BELT,V,
1467289,Yes,GATES,B47,BELT,V,
1467788,No,NEAC,Z1-104-775-150,BELT,V,BELT|V
1469875,No,GATES,3048-8GTV-21,BELT,TIMING,BELT|TIMING
1469876,No,GATES,2200-8GTV,BELT,TIMING,BELT|TIMING
1469877,No,GATES,2240-8GTV-21,BELT,TIMING,BELT|TIMING
1469878,No,GATES,2400-8GTV-21,BELT,TIMING,BELT|TIMING
1471011,No,GATES,2520-8GTV-21,BELT,TIMING,BELT|TIMING
1471012,No,GATES,6138743,BELT,TIMING,BELT|TIMING
1471013,No,GATES,6138753,BELT,TIMING,BELT|TIMING
1471014,No,GATES,2200-8GTV-21,BELT,TIMING,BELT|TIMING
1471259,No,,A98,BELT,V,BELT|V
1472051,Yes,GATES,4956-14MGT-55,BELT,TIMING,
1472052,Yes,GATES,3850-14MGT-40,BELT,TIMING,
1472053,Yes,GATES,3360-14MGT-40,BELT,TIMING,
1472241,No,SCHENCK PROCESS,5800-20M-115,BELT,TIMING,BELT|TIMING
1472246,No,SCHENCK PROCESS,2500-20M-115,BELT,TIMING,BELT|TIMING
1472621,No,,A162,BELT,V,BELT|V
1476673,Yes,GATES,3VX400,BELT,V,
1479292,Yes,GATES,2240-8MGT-12,BELT,TIMING,
1700800,New,GATES,1040-8MGT-30,BELT,TIMING,BELT|TIMING
1700928,No,GATES,SPA/LP2240,BELT,V,BELT|V
1701036,No,GM DIESELS,5101500,BELT,V,BELT|V
1701253,New,GATES,A35,BELT,V,BELT|V
1701272,New,GATES,1890-14MGT-40,BELT,TIMING,BELT|TIMING
1701274,New,GATES,2310-14MGT-40,BELT,TIMING,BELT|TIMING
1701275,New,GATES,2310-14MGT-55,BELT,TIMING,BELT|TIMING
1701276,New,GATES,2310-14MGT-85,BELT,TIMING,BELT|TIMING
1701277,New,GATES,3850-14MGT-85,BELT,TIMING,BELT|TIMING
1701278,New,GATES,3850-14MGT-115,BELT,TIMING,BELT|TIMING
1701279,Yes,GATES,3500-14MGT-40,BELT,TIMING,
1701280,New,GATES,2800-14MGT-55,BELT,TIMING,BELT|TIMING
1701643,No,GATES,SPB5300,BELT,V,BELT|V
1701644,No,GATES,SPB5300-3,BELT,V,BELT|V
1703994,No,,5137300,BELT,V,BELT|V
1704058,No,GATES,SPA-MN-1707,BELT,V,BELT|V
1704059,No,GATES,SPA/LP4000,BELT,V,BELT|V
1704125,No,GATES,Z25-LP655,BELT,V,BELT|V
1704126,No,GATES,Z35 1/2-LP920,BELT,V,BELT|V
1704127,No,GATES,Z29 1/2-LP780,BELT,V,BELT|V
1704130,No,GATES,B54-LP1425,BELT,V,BELT|V
1704131,No,GATES,B68-LP1780,BELT,V,BELT|V
1704133,New,GATES,C128,BELT,V,BELT|V
1704134,No,GATES,C144,BELT,V,BELT|V
1704135,New,GATES,C158,BELT,V,BELT|V
1704136,New,GATES,C158,BELT,V,BELT|V
1704137,New,GATES,C158,BELT,V,BELT|V
1704640,New,GATES,2450-14MGT-55,BELT,TIMING,BELT|TIMING
1704641,New,GATES,3850-14MGT-55,BELT,TIMING,BELT|TIMING
1705794,New,GATES,3500-14MGT-55,BELT,TIMING,BELT|TIMING
1705795,Yes,GATES,3150-14MGT-40,BELT,TIMING,
1705891,New,GATES,2100-14MGT-40,BELT,TIMING,BELT|TIMING
